emp_no,gender,marital_status,age_band,age,department,education,education_field,job_role,business_travel,employee_count,attrition,attrition_label,job_satisfaction,active_employee
10001,Female,Single,35 - 44,41,Sales,Associates Degree,Life Sciences,Sales Executive,Travel_Rarely,1,Yes,Ex-Employees,4,0
10002,Male,Married,45 - 54,49,R&D,High School,Life Sciences,Research Scientist,Travel_Frequently,1,No,Current Employees,2,1
10003,Male,Single,35 - 44,37,R&D,Associates Degree,Other,Laboratory Technician,Travel_Rarely,1,Yes,Ex-Employees,3,0
10004,Female,Married,25 - 34,33,R&D,Master's Degree,Life Sciences,Research Scientist,Travel_Frequently,1,No,Current Employees,3,1
10005,Male,Married,25 - 34,27,R&D,High School,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,2,1
10006,Male,Single,25 - 34,32,R&D,Associates Degree,Life Sciences,Laboratory Technician,Travel_Frequently,1,No,Current Employees,4,1
10007,Female,Married,Over 55,59,R&D,Bachelor's Degree,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,1,1
10008,Male,Divorced,25 - 34,30,R&D,High School,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,3,1
10009,Male,Single,35 - 44,38,R&D,Bachelor's Degree,Life Sciences,Manufacturing Director,Travel_Frequently,1,No,Current Employees,3,1
10010,Male,Married,35 - 44,36,R&D,Bachelor's Degree,Medical,Healthcare Representative,Travel_Rarely,1,No,Current Employees,3,1
10011,Male,Married,35 - 44,35,R&D,Bachelor's Degree,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,2,1
10012,Female,Single,25 - 34,29,R&D,Associates Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,3,1
10013,Male,Divorced,25 - 34,31,R&D,High School,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,3,1
10014,Male,Divorced,25 - 34,34,R&D,Associates Degree,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1
10015,Male,Single,25 - 34,28,R&D,Bachelor's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,Yes,Ex-Employees,3,0
10016,Female,Divorced,25 - 34,29,R&D,Master's Degree,Life Sciences,Manufacturing Director,Travel_Rarely,1,No,Current Employees,1,1
10017,Male,Divorced,25 - 34,32,R&D,Associates Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,2,1
10018,Male,Divorced,Under 25,22,R&D,Associates Degree,Medical,Laboratory Technician,Non-Travel,1,No,Current Employees,4,1
10019,Female,Married,45 - 54,53,Sales,Master's Degree,Life Sciences,Manager,Travel_Rarely,1,No,Current Employees,4,1
10020,Male,Single,35 - 44,38,R&D,Bachelor's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1
10021,Female,Divorced,Under 25,24,R&D,Associates Degree,Other,Manufacturing Director,Non-Travel,1,No,Current Employees,3,1
10022,Male,Single,35 - 44,36,Sales,Master's Degree,Life Sciences,Sales Representative,Travel_Rarely,1,Yes,Ex-Employees,1,0
10023,Female,Single,25 - 34,34,R&D,Master's Degree,Life Sciences,Research Director,Travel_Rarely,1,No,Current Employees,2,1
10024,Male,Single,Under 25,21,R&D,Associates Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1
10025,Male,Single,25 - 34,34,R&D,High School,Medical,Research Scientist,Travel_Rarely,1,Yes,Ex-Employees,1,0
10026,Female,Divorced,45 - 54,53,R&D,Bachelor's Degree,Other,Manager,Travel_Rarely,1,No,Current Employees,3,1
10027,Female,Single,25 - 34,32,R&D,High School,Life Sciences,Research Scientist,Travel_Frequently,1,Yes,Ex-Employees,1,0
10028,Male,Married,35 - 44,42,Sales,Master's Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,2,1
10029,Female,Married,35 - 44,44,R&D,Master's Degree,Medical,Healthcare Representative,Travel_Rarely,1,No,Current Employees,4,1
10030,Female,Single,45 - 54,46,Sales,Master's Degree,Marketing,Manager,Travel_Rarely,1,No,Current Employees,1,1
10031,Male,Single,25 - 34,33,R&D,Bachelor's Degree,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1
10032,Male,Married,35 - 44,44,R&D,Master's Degree,Other,Healthcare Representative,Travel_Rarely,1,No,Current Employees,4,1
10033,Male,Single,25 - 34,30,R&D,Associates Degree,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,3,1
10034,Male,Married,35 - 44,39,Sales,Bachelor's Degree,Technical Degree,Sales Representative,Travel_Rarely,1,Yes,Ex-Employees,4,0
10035,Male,Married,Under 25,24,R&D,Bachelor's Degree,Medical,Research Scientist,Travel_Rarely,1,Yes,Ex-Employees,4,0
10036,Female,Divorced,35 - 44,43,R&D,Associates Degree,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,3,1
10037,Male,Married,45 - 54,50,Sales,Associates Degree,Marketing,Sales Representative,Travel_Rarely,1,Yes,Ex-Employees,3,0
10038,Female,Married,35 - 44,35,Sales,Bachelor's Degree,Marketing,Sales Representative,Travel_Rarely,1,No,Current Employees,4,1
10039,Female,Married,35 - 44,36,R&D,Master's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,1,1
10040,Female,Married,25 - 34,33,Sales,Bachelor's Degree,Life Sciences,Sales Executive,Travel_Frequently,1,No,Current Employees,1,1
10041,Male,Divorced,35 - 44,35,R&D,Associates Degree,Other,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1
10042,Female,Divorced,25 - 34,27,R&D,Master's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,1,1
10043,Male,Single,25 - 34,26,R&D,Bachelor's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,Yes,Ex-Employees,3,0
10044,Male,Single,25 - 34,27,Sales,Bachelor's Degree,Life Sciences,Sales Executive,Travel_Frequently,1,No,Current Employees,3,1
10045,Female,Single,25 - 34,30,R&D,Associates Degree,Medical,Laboratory Technician,Travel_Frequently,1,No,Current Employees,4,1
10046,Female,Married,35 - 44,41,R&D,Bachelor's Degree,Technical Degree,Research Director,Travel_Rarely,1,Yes,Ex-Employees,3,0
10047,Male,Single,25 - 34,34,Sales,Master's Degree,Marketing,Sales Executive,Non-Travel,1,No,Current Employees,3,1
10048,Male,Married,35 - 44,37,R&D,Associates Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,2,1
10049,Male,Single,45 - 54,46,Sales,Master's Degree,Marketing,Sales Executive,Travel_Frequently,1,No,Current Employees,4,1
10050,Male,Married,35 - 44,35,R&D,High School,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1
10051,Male,Single,45 - 54,48,R&D,Associates Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,Yes,Ex-Employees,3,0
10052,Male,Single,25 - 34,28,R&D,Master's Degree,Technical Degree,Laboratory Technician,Travel_Rarely,1,Yes,Ex-Employees,3,0
10053,Female,Divorced,35 - 44,44,Sales,Doctoral Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,1,1
10054,Male,Married,35 - 44,35,R&D,Associates Degree,Medical,Healthcare Representative,Non-Travel,1,No,Current Employees,1,1
10055,Female,Married,25 - 34,26,Sales,Bachelor's Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1
10056,Female,Single,25 - 34,33,R&D,Associates Degree,Life Sciences,Research Director,Travel_Frequently,1,No,Current Employees,4,1
10057,Male,Married,35 - 44,35,Sales,Doctoral Degree,Life Sciences,Sales Executive,Travel_Frequently,1,No,Current Employees,1,1
10058,Female,Married,35 - 44,35,R&D,Master's Degree,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,1,1
10059,Male,Divorced,25 - 34,31,R&D,Master's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1
10060,Male,Divorced,35 - 44,37,R&D,Master's Degree,Life Sciences,Manufacturing Director,Travel_Rarely,1,No,Current Employees,3,1
10061,Male,Married,25 - 34,32,R&D,Bachelor's Degree,Medical,Manufacturing Director,Travel_Rarely,1,No,Current Employees,4,1
10062,Female,Single,35 - 44,38,R&D,Doctoral Degree,Life Sciences,Laboratory Technician,Travel_Frequently,1,No,Current Employees,4,1
10063,Female,Divorced,45 - 54,50,R&D,Associates Degree,Medical,Research Director,Travel_Rarely,1,No,Current Employees,3,1
10064,Female,Single,Over 55,59,Sales,Bachelor's Degree,Life Sciences,Sales Executive,Travel_Rarely,1,No,Current Employees,1,1
10065,Female,Divorced,35 - 44,36,R&D,Bachelor's Degree,Technical Degree,Healthcare Representative,Travel_Rarely,1,No,Current Employees,3,1
10066,Female,Divorced,Over 55,55,R&D,Bachelor's Degree,Medical,Manager,Travel_Rarely,1,No,Current Employees,3,1
10067,Male,Single,35 - 44,36,R&D,Bachelor's Degree,Life Sciences,Manufacturing Director,Travel_Frequently,1,No,Current Employees,2,1
10068,Male,Divorced,45 - 54,45,R&D,Bachelor's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,1,1
10069,Male,Married,35 - 44,35,R&D,Bachelor's Degree,Medical,Research Scientist,Travel_Frequently,1,No,Current Employees,1,1
10070,Male,Married,35 - 44,36,R&D,Bachelor's Degree,Medical,Research Scientist,Travel_Rarely,1,Yes,Ex-Employees,3,0
10071,Female,Single,Over 55,59,Sales,High School,Life Sciences,Sales Executive,Travel_Frequently,1,No,Current Employees,3,1
10072,Male,Married,25 - 34,29,R&D,Bachelor's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,2,1
